t1 	20220708 	B 	- 	0 	NULL 
t12 	20220710 	B 	- 	0 	NULL 
t13 	20220710 	B 	- 	0 	NULL 
t14 	20220710 	B 	- 	0 	NULL 
t15 	20220710 	B 	- 	0 	NULL 
t16 	20220710 	B 	- 	0 	NULL 
t1 	20220710 	L 	- 	0 	NULL 
t2 	20220710 	L 	- 	0 	NULL 
t3 	20220710 	L 	- 	0 	NULL 
t4 	20220710 	L 	- 	0 	NULL 
t5 	20220710 	L 	- 	0 	NULL 
t6 	20220710 	L 	- 	0 	NULL 
t7 	20220710 	L 	- 	0 	NULL 
t8 	20220710 	L 	- 	0 	NULL 
t9 	20220710 	L 	- 	0 	NULL 
t10 	20220710 	L 	- 	0 	NULL 
t11 	20220710 	L 	- 	0 	NULL 
t12 	20220710 	L 	- 	0 	NULL 
t13 	20220710 	L 	- 	0 	NULL 
t14 	20220710 	L 	- 	0 	NULL 
t15 	20220710 	L 	- 	0 	NULL 
t16 	20220710 	L 	- 	0 	NULL 
t1 	20220710 	D 	- 	0 	NULL 
t2 	20220710 	D 	- 	0 	NULL 
t3 	20220710 	D 	- 	0 	NULL 
t4 	20220710 	D 	- 	0 	NULL 
t5 	20220710 	D 	- 	0 	NULL 
t6 	20220710 	D 	- 	0 	NULL 
t7 	20220710 	D 	- 	0 	NULL 
t8 	20220710 	D 	- 	0 	NULL 
t9 	20220710 	D 	- 	0 	NULL 
t10 	20220710 	D 	- 	0 	NULL 
t11 	20220710 	D 	- 	0 	NULL 
t12 	20220710 	D 	- 	0 	NULL 
t13 	20220710 	D 	- 	0 	NULL 
t14 	20220710 	D 	- 	0 	NULL 
t15 	20220710 	D 	- 	0 	NULL 
t16 	20220710 	D 	- 	0 	NULL 
t1 	20220711 	B 	- 	0 	NULL 
t2 	20220711 	B 	- 	0 	NULL 
t3 	20220711 	B 	- 	0 	NULL 
t4 	20220711 	B 	- 	0 	NULL 
t5 	20220711 	B 	- 	0 	NULL 
t6 	20220711 	B 	- 	0 	NULL 
t7 	20220711 	B 	- 	0 	NULL 
t8 	20220711 	B 	- 	0 	NULL 
t9 	20220711 	B 	- 	0 	NULL 
t10 	20220711 	B 	- 	0 	NULL 
t11 	20220711 	B 	- 	0 	NULL 
t12 	20220711 	B 	- 	0 	NULL 
t13 	20220711 	B 	- 	0 	NULL 
t14 	20220711 	B 	- 	0 	NULL 
t15 	20220711 	B 	- 	0 	NULL 
t16 	20220711 	B 	- 	0 	NULL 
t1 	20220711 	L 	- 	0 	NULL 
t2 	20220711 	L 	- 	0 	NULL 
t3 	20220711 	L 	- 	0 	NULL 
t4 	20220711 	L 	- 	0 	NULL 
t5 	20220711 	L 	- 	0 	NULL 
t6 	20220711 	L 	- 	0 	NULL 
t7 	20220711 	L 	- 	0 	NULL 
t8 	20220711 	L 	- 	0 	NULL 
t9 	20220711 	L 	- 	0 	NULL 
t10 	20220711 	L 	- 	0 	NULL 
t11 	20220711 	L 	- 	0 	NULL 
t12 	20220711 	L 	- 	0 	NULL 
t13 	20220711 	L 	- 	0 	NULL 
t14 	20220711 	L 	- 	0 	NULL 
t15 	20220711 	L 	- 	0 	NULL 
t16 	20220711 	L 	- 	0 	NULL 
t1 	20220711 	D 	- 	0 	NULL 
t2 	20220711 	D 	- 	0 	NULL 
t3 	20220711 	D 	- 	0 	NULL 
t4 	20220711 	D 	- 	0 	NULL 
t5 	20220711 	D 	- 	0 	NULL 
t6 	20220711 	D 	- 	0 	NULL 
t7 	20220711 	D 	- 	0 	NULL 
t8 	20220711 	D 	- 	0 	NULL 
t9 	20220711 	D 	- 	0 	NULL 
t10 	20220711 	D 	- 	0 	NULL 
t11 	20220711 	D 	- 	0 	NULL 
t12 	20220711 	D 	- 	0 	NULL 
t13 	20220711 	D 	- 	0 	NULL 
t14 	20220711 	D 	- 	0 	NULL 
t15 	20220711 	D 	- 	0 	NULL 
t16 	20220711 	D 	- 	0 	NULL 
t1 	20220712 	B 	- 	0 	NULL 
t2 	20220712 	B 	- 	0 	NULL 
t3 	20220712 	B 	- 	0 	NULL 
t4 	20220712 	B 	- 	0 	NULL 
t5 	20220712 	B 	- 	0 	NULL 
t6 	20220712 	B 	- 	0 	NULL 
t7 	20220712 	B 	- 	0 	NULL 
t8 	20220712 	B 	- 	0 	NULL 
t9 	20220712 	B 	- 	0 	NULL 
t10 	20220712 	B 	- 	0 	NULL 
t11 	20220712 	B 	- 	0 	NULL 
t12 	20220712 	B 	- 	0 	NULL 
t13 	20220712 	B 	- 	0 	NULL 
t14 	20220712 	B 	- 	0 	NULL 
t15 	20220712 	B 	- 	0 	NULL 
t16 	20220712 	B 	- 	0 	NULL 
t1 	20220712 	L 	- 	0 	NULL 
t2 	20220712 	L 	- 	0 	NULL 
t3 	20220712 	L 	- 	0 	NULL 
t4 	20220712 	L 	- 	0 	NULL 
t5 	20220712 	L 	- 	0 	NULL 
t6 	20220712 	L 	- 	0 	NULL 
t7 	20220712 	L 	- 	0 	NULL 
t8 	20220712 	L 	- 	0 	NULL 
t9 	20220712 	L 	- 	0 	NULL 
t10 	20220712 	L 	- 	0 	NULL 
t11 	20220712 	L 	- 	0 	NULL 
t12 	20220712 	L 	- 	0 	NULL 
t13 	20220712 	L 	- 	0 	NULL 
t14 	20220712 	L 	- 	0 	NULL 
t15 	20220712 	L 	- 	0 	NULL 
t16 	20220712 	L 	- 	0 	NULL 
t1 	20220712 	D 	- 	0 	NULL 
t2 	20220712 	D 	- 	0 	NULL 
t3 	20220712 	D 	- 	0 	NULL 
t4 	20220712 	D 	- 	0 	NULL 
t5 	20220712 	D 	- 	0 	NULL 
t6 	20220712 	D 	- 	0 	NULL 
t7 	20220712 	D 	- 	0 	NULL 
t8 	20220712 	D 	- 	0 	NULL 
t9 	20220712 	D 	- 	0 	NULL 
t10 	20220712 	D 	- 	0 	NULL 
t11 	20220712 	D 	- 	0 	NULL 
t12 	20220712 	D 	- 	0 	NULL 
t13 	20220712 	D 	- 	0 	NULL 
t14 	20220712 	D 	- 	0 	NULL 
t15 	20220712 	D 	- 	0 	NULL 
t16 	20220712 	D 	- 	0 	NULL 
t1 	20220713 	B 	- 	0 	NULL 
t2 	20220713 	B 	- 	0 	NULL 
t3 	20220713 	B 	- 	0 	NULL 
t4 	20220713 	B 	- 	0 	NULL 
t5 	20220713 	B 	- 	0 	NULL 
t6 	20220713 	B 	- 	0 	NULL 
t7 	20220713 	B 	- 	0 	NULL 
t8 	20220713 	B 	- 	0 	NULL 
t9 	20220713 	B 	- 	0 	NULL 
t10 	20220713 	B 	- 	0 	NULL 
t11 	20220713 	B 	- 	0 	NULL 
t12 	20220713 	B 	- 	0 	NULL 
t13 	20220713 	B 	- 	0 	NULL 
t14 	20220713 	B 	- 	0 	NULL 
t15 	20220713 	B 	- 	0 	NULL 
t16 	20220713 	B 	- 	0 	NULL 
t1 	20220713 	L 	- 	0 	NULL 
t2 	20220713 	L 	- 	0 	NULL 
t3 	20220713 	L 	- 	0 	NULL 
t4 	20220713 	L 	- 	0 	NULL 
t5 	20220713 	L 	- 	0 	NULL 
t6 	20220713 	L 	- 	0 	NULL 
t7 	20220713 	L 	- 	0 	NULL 
t8 	20220713 	L 	- 	0 	NULL 
t9 	20220713 	L 	- 	0 	NULL 
t10 	20220713 	L 	- 	0 	NULL 
t11 	20220713 	L 	- 	0 	NULL 
t12 	20220713 	L 	- 	0 	NULL 
t13 	20220713 	L 	- 	0 	NULL 
t14 	20220713 	L 	- 	0 	NULL 
t15 	20220713 	L 	- 	0 	NULL 
t16 	20220713 	L 	- 	0 	NULL 
t1 	20220713 	D 	- 	0 	NULL 
t2 	20220713 	D 	- 	0 	NULL 
t3 	20220713 	D 	- 	0 	NULL 
t4 	20220713 	D 	- 	0 	NULL 
t5 	20220713 	D 	- 	0 	NULL 
t6 	20220713 	D 	- 	0 	NULL 
t7 	20220713 	D 	- 	0 	NULL 
t8 	20220713 	D 	- 	0 	NULL 
t9 	20220713 	D 	- 	0 	NULL 
t10 	20220713 	D 	- 	0 	NULL 
t11 	20220713 	D 	- 	0 	NULL 
t12 	20220713 	D 	- 	0 	NULL 
t13 	20220713 	D 	- 	0 	NULL 
t14 	20220713 	D 	- 	0 	NULL 
t15 	20220713 	D 	- 	0 	NULL 
t16 	20220713 	D 	- 	0 	NULL 
t1 	20220714 	B 	- 	0 	NULL 
t2 	20220714 	B 	- 	0 	NULL 
t3 	20220714 	B 	- 	0 	NULL 
t4 	20220714 	B 	- 	0 	NULL 
t5 	20220714 	B 	- 	0 	NULL 
t6 	20220714 	B 	- 	0 	NULL 
t7 	20220714 	B 	- 	0 	NULL 
t8 	20220714 	B 	- 	0 	NULL 
t9 	20220714 	B 	- 	0 	NULL 
t10 	20220714 	B 	- 	0 	NULL 
t11 	20220714 	B 	- 	0 	NULL 
t12 	20220714 	B 	- 	0 	NULL 
t13 	20220714 	B 	- 	0 	NULL 
t14 	20220714 	B 	- 	0 	NULL 
t15 	20220714 	B 	- 	0 	NULL 
t16 	20220714 	B 	- 	0 	NULL 
t1 	20220714 	L 	- 	0 	NULL 
t2 	20220714 	L 	- 	0 	NULL 
t3 	20220714 	L 	- 	0 	NULL 
t4 	20220714 	L 	- 	0 	NULL 
t5 	20220714 	L 	- 	0 	NULL 
t6 	20220714 	L 	- 	0 	NULL 
t7 	20220714 	L 	- 	0 	NULL 
t8 	20220714 	L 	- 	0 	NULL 
t9 	20220714 	L 	- 	0 	NULL 
t10 	20220714 	L 	- 	0 	NULL 
t11 	20220714 	L 	- 	0 	NULL 
t12 	20220714 	L 	- 	0 	NULL 
t13 	20220714 	L 	- 	0 	NULL 
t14 	20220714 	L 	- 	0 	NULL 
t15 	20220714 	L 	- 	0 	NULL 
t16 	20220714 	L 	- 	0 	NULL 
t1 	20220714 	D 	- 	0 	NULL 
t2 	20220714 	D 	- 	0 	NULL 
t3 	20220714 	D 	- 	0 	NULL 
t4 	20220714 	D 	- 	0 	NULL 
t5 	20220714 	D 	- 	0 	NULL 
t6 	20220714 	D 	- 	0 	NULL 
t7 	20220714 	D 	- 	0 	NULL 
t8 	20220714 	D 	- 	0 	NULL 
t9 	20220714 	D 	- 	0 	NULL 
t10 	20220714 	D 	- 	0 	NULL 
t11 	20220714 	D 	- 	0 	NULL 
t12 	20220714 	D 	- 	0 	NULL 
t13 	20220714 	D 	- 	0 	NULL 
t14 	20220714 	D 	- 	0 	NULL 
t15 	20220714 	D 	- 	0 	NULL 
t16 	20220714 	D 	- 	0 	NULL 
t1 	20220715 	B 	- 	0 	NULL 
t2 	20220715 	B 	- 	0 	NULL 
t3 	20220715 	B 	- 	0 	NULL 
t4 	20220715 	B 	- 	0 	NULL 
t5 	20220715 	B 	- 	0 	NULL 
t6 	20220715 	B 	- 	0 	NULL 
t7 	20220715 	B 	- 	0 	NULL 
t8 	20220715 	B 	- 	0 	NULL 
t9 	20220715 	B 	- 	0 	NULL 
t10 	20220715 	B 	- 	0 	NULL 
t11 	20220715 	B 	- 	0 	NULL 
t12 	20220715 	B 	- 	0 	NULL 
t13 	20220715 	B 	- 	0 	NULL 
t14 	20220715 	B 	- 	0 	NULL 
t15 	20220715 	B 	- 	0 	NULL 
t16 	20220715 	B 	- 	0 	NULL 
t1 	20220715 	L 	- 	0 	NULL 
t2 	20220715 	L 	- 	0 	NULL 
t3 	20220715 	L 	- 	0 	NULL 
t4 	20220715 	L 	- 	0 	NULL 
t5 	20220715 	L 	- 	0 	NULL 
t6 	20220715 	L 	- 	0 	NULL 
t7 	20220715 	L 	- 	0 	NULL 
t8 	20220715 	L 	- 	0 	NULL 
t9 	20220715 	L 	- 	0 	NULL 
t10 	20220715 	L 	- 	0 	NULL 
t11 	20220715 	L 	- 	0 	NULL 
t12 	20220715 	L 	- 	0 	NULL 
t13 	20220715 	L 	- 	0 	NULL 
t14 	20220715 	L 	- 	0 	NULL 
t15 	20220715 	L 	- 	0 	NULL 
t16 	20220715 	L 	- 	0 	NULL 
t1 	20220715 	D 	- 	0 	NULL 
t2 	20220715 	D 	- 	0 	NULL 
t3 	20220715 	D 	- 	0 	NULL 
t4 	20220715 	D 	- 	0 	NULL 
t5 	20220715 	D 	- 	0 	NULL 
t6 	20220715 	D 	- 	0 	NULL 
t7 	20220715 	D 	- 	0 	NULL 
t8 	20220715 	D 	- 	0 	NULL 
t9 	20220715 	D 	- 	0 	NULL 
t10 	20220715 	D 	- 	0 	NULL 
t11 	20220715 	D 	- 	0 	NULL 
t12 	20220715 	D 	- 	0 	NULL 
t13 	20220715 	D 	- 	0 	NULL 
t14 	20220715 	D 	- 	0 	NULL 
t15 	20220715 	D 	- 	0 	NULL 
t16 	20220715 	D 	- 	0 	NULL 
t1 	20220716 	B 	- 	0 	NULL 
t2 	20220716 	B 	- 	0 	NULL 
t3 	20220716 	B 	- 	0 	NULL 
t4 	20220716 	B 	- 	0 	NULL 
t5 	20220716 	B 	- 	0 	NULL 
t6 	20220716 	B 	- 	0 	NULL 
t7 	20220716 	B 	- 	0 	NULL 
t8 	20220716 	B 	- 	0 	NULL 
t9 	20220716 	B 	- 	0 	NULL 
t10 	20220716 	B 	- 	0 	NULL 
t11 	20220716 	B 	- 	0 	NULL 
t12 	20220716 	B 	- 	0 	NULL 
t13 	20220716 	B 	- 	0 	NULL 
t14 	20220716 	B 	- 	0 	NULL 
t15 	20220716 	B 	- 	0 	NULL 
t16 	20220716 	B 	- 	0 	NULL 
t1 	20220716 	L 	- 	0 	NULL 
t2 	20220716 	L 	- 	0 	NULL 
t3 	20220716 	L 	- 	0 	NULL 
t4 	20220716 	L 	- 	0 	NULL 
t5 	20220716 	L 	- 	0 	NULL 
t6 	20220716 	L 	- 	0 	NULL 
t7 	20220716 	L 	- 	0 	NULL 
t8 	20220716 	L 	- 	0 	NULL 
t9 	20220716 	L 	- 	0 	NULL 
t10 	20220716 	L 	- 	0 	NULL 
t11 	20220716 	L 	- 	0 	NULL 
t12 	20220716 	L 	- 	0 	NULL 
t13 	20220716 	L 	- 	0 	NULL 
t14 	20220716 	L 	- 	0 	NULL 
t15 	20220716 	L 	- 	0 	NULL 
t16 	20220716 	L 	- 	0 	NULL 
t1 	20220716 	D 	- 	0 	NULL 
t2 	20220716 	D 	- 	0 	NULL 
t3 	20220716 	D 	- 	0 	NULL 
t4 	20220716 	D 	- 	0 	NULL 
t5 	20220716 	D 	- 	0 	NULL 
t6 	20220716 	D 	- 	0 	NULL 
t7 	20220716 	D 	- 	0 	NULL 
t8 	20220716 	D 	- 	0 	NULL 
t9 	20220716 	D 	- 	0 	NULL 
t10 	20220716 	D 	- 	0 	NULL 
t11 	20220716 	D 	- 	0 	NULL 
t12 	20220716 	D 	- 	0 	NULL 
t13 	20220716 	D 	- 	0 	NULL 
t14 	20220716 	D 	- 	0 	NULL 
t15 	20220716 	D 	- 	0 	NULL 
t16 	20220716 	D 	- 	0 	NULL 
t1 	20220717 	B 	- 	0 	NULL 
t2 	20220717 	B 	- 	0 	NULL 
t3 	20220717 	B 	- 	0 	NULL 
t4 	20220717 	B 	- 	0 	NULL 
t5 	20220717 	B 	- 	0 	NULL 
t6 	20220717 	B 	- 	0 	NULL 
t7 	20220717 	B 	- 	0 	NULL 
t8 	20220717 	B 	- 	0 	NULL 
t9 	20220717 	B 	- 	0 	NULL 
t10 	20220717 	B 	- 	0 	NULL 
t11 	20220717 	B 	- 	0 	NULL 
t12 	20220717 	B 	- 	0 	NULL 
t13 	20220717 	B 	- 	0 	NULL 
t14 	20220717 	B 	- 	0 	NULL 
t15 	20220717 	B 	- 	0 	NULL 
t16 	20220717 	B 	- 	0 	NULL 
t1 	20220717 	L 	- 	0 	NULL 
t2 	20220717 	L 	- 	0 	NULL 
t3 	20220717 	L 	- 	0 	NULL 
t4 	20220717 	L 	- 	0 	NULL 
t5 	20220717 	L 	- 	0 	NULL 
t6 	20220717 	L 	- 	0 	NULL 
t7 	20220717 	L 	- 	0 	NULL 
t8 	20220717 	L 	- 	0 	NULL 
t9 	20220717 	L 	- 	0 	NULL 
t10 	20220717 	L 	- 	0 	NULL 
t11 	20220717 	L 	- 	0 	NULL 
t12 	20220717 	L 	- 	0 	NULL 
t13 	20220717 	L 	- 	0 	NULL 
t14 	20220717 	L 	- 	0 	NULL 
t15 	20220717 	L 	- 	0 	NULL 
t16 	20220717 	L 	- 	0 	NULL 
t1 	20220717 	D 	- 	0 	NULL 
t2 	20220717 	D 	- 	0 	NULL 
t3 	20220717 	D 	- 	0 	NULL 
t4 	20220717 	D 	- 	0 	NULL 
t5 	20220717 	D 	- 	0 	NULL 
t6 	20220717 	D 	- 	0 	NULL 
t7 	20220717 	D 	- 	0 	NULL 
t8 	20220717 	D 	- 	0 	NULL 
t9 	20220717 	D 	- 	0 	NULL 
t10 	20220717 	D 	- 	0 	NULL 
t11 	20220717 	D 	- 	0 	NULL 
t12 	20220717 	D 	- 	0 	NULL 
t13 	20220717 	D 	- 	0 	NULL 
t14 	20220717 	D 	- 	0 	NULL 
t15 	20220717 	D 	- 	0 	NULL 
t16 	20220717 	D 	- 	0 	NULL 
t1 	20220718 	B 	- 	0 	NULL 
t2 	20220718 	B 	- 	0 	NULL 
t3 	20220718 	B 	- 	0 	NULL 
t4 	20220718 	B 	- 	0 	NULL 
t5 	20220718 	B 	- 	0 	NULL 
t6 	20220718 	B 	- 	0 	NULL 
t7 	20220718 	B 	- 	0 	NULL 
t8 	20220718 	B 	- 	0 	NULL 
t9 	20220718 	B 	- 	0 	NULL 
t10 	20220718 	B 	- 	0 	NULL 
t11 	20220718 	B 	- 	0 	NULL 
t12 	20220718 	B 	- 	0 	NULL 
t13 	20220718 	B 	- 	0 	NULL 
t14 	20220718 	B 	- 	0 	NULL 
t15 	20220718 	B 	- 	0 	NULL 
t16 	20220718 	B 	- 	0 	NULL 
t1 	20220718 	L 	- 	0 	NULL 
t2 	20220718 	L 	- 	0 	NULL 
t3 	20220718 	L 	- 	0 	NULL 
t4 	20220718 	L 	- 	0 	NULL 
t5 	20220718 	L 	- 	0 	NULL 
t6 	20220718 	L 	- 	0 	NULL 
t7 	20220718 	L 	- 	0 	NULL 
t8 	20220718 	L 	- 	0 	NULL 
t9 	20220718 	L 	- 	0 	NULL 
t10 	20220718 	L 	- 	0 	NULL 
t11 	20220718 	L 	- 	0 	NULL 
t12 	20220718 	L 	- 	0 	NULL 
t13 	20220718 	L 	- 	0 	NULL 
t14 	20220718 	L 	- 	0 	NULL 
t15 	20220718 	L 	- 	0 	NULL 
t16 	20220718 	L 	- 	0 	NULL 
t1 	20220718 	D 	- 	0 	NULL 
t2 	20220718 	D 	- 	0 	NULL 
t3 	20220718 	D 	- 	0 	NULL 
t4 	20220718 	D 	- 	0 	NULL 
t5 	20220718 	D 	- 	0 	NULL 
t6 	20220718 	D 	- 	0 	NULL 
t7 	20220718 	D 	- 	0 	NULL 
t8 	20220718 	D 	- 	0 	NULL 
t9 	20220718 	D 	- 	0 	NULL 
t10 	20220718 	D 	- 	0 	NULL 
t11 	20220718 	D 	- 	0 	NULL 
t12 	20220718 	D 	- 	0 	NULL 
t13 	20220718 	D 	- 	0 	NULL 
t14 	20220718 	D 	- 	0 	NULL 
t15 	20220718 	D 	- 	0 	NULL 
t16 	20220718 	D 	- 	0 	NULL 
t1 	20220719 	B 	- 	0 	NULL 
t2 	20220719 	B 	- 	0 	NULL 
t3 	20220719 	B 	- 	0 	NULL 
t4 	20220719 	B 	- 	0 	NULL 
t5 	20220719 	B 	- 	0 	NULL 
t6 	20220719 	B 	- 	0 	NULL 
t7 	20220719 	B 	- 	0 	NULL 
t8 	20220719 	B 	- 	0 	NULL 
t9 	20220719 	B 	- 	0 	NULL 
t10 	20220719 	B 	- 	0 	NULL 
t11 	20220719 	B 	- 	0 	NULL 
t12 	20220719 	B 	- 	0 	NULL 
t13 	20220719 	B 	- 	0 	NULL 
t14 	20220719 	B 	- 	0 	NULL 
t15 	20220719 	B 	- 	0 	NULL 
t16 	20220719 	B 	- 	0 	NULL 
t1 	20220719 	L 	- 	0 	NULL 
t2 	20220719 	L 	- 	0 	NULL 
t3 	20220719 	L 	- 	0 	NULL 
t4 	20220719 	L 	- 	0 	NULL 
t5 	20220719 	L 	- 	0 	NULL 
t6 	20220719 	L 	- 	0 	NULL 
t7 	20220719 	L 	- 	0 	NULL 
t8 	20220719 	L 	- 	0 	NULL 
t9 	20220719 	L 	- 	0 	NULL 
t10 	20220719 	L 	- 	0 	NULL 
t11 	20220719 	L 	- 	0 	NULL 
t12 	20220719 	L 	- 	0 	NULL 
t13 	20220719 	L 	- 	0 	NULL 
t14 	20220719 	L 	- 	0 	NULL 
t15 	20220719 	L 	- 	0 	NULL 
t16 	20220719 	L 	- 	0 	NULL 
t1 	20220719 	D 	- 	0 	NULL 
t2 	20220719 	D 	- 	0 	NULL 
t3 	20220719 	D 	- 	0 	NULL 
t4 	20220719 	D 	- 	0 	NULL 
t5 	20220719 	D 	- 	0 	NULL 
t6 	20220719 	D 	- 	0 	NULL 
t7 	20220719 	D 	- 	0 	NULL 
t8 	20220719 	D 	- 	0 	NULL 
t9 	20220719 	D 	- 	0 	NULL 
t10 	20220719 	D 	- 	0 	NULL 
t11 	20220719 	D 	- 	0 	NULL 
t12 	20220719 	D 	- 	0 	NULL 
t13 	20220719 	D 	- 	0 	NULL 
t14 	20220719 	D 	- 	0 	NULL 
t15 	20220719 	D 	- 	0 	NULL 
t16 	20220719 	D 	- 	0 	NULL 
t1 	20220720 	B 	- 	0 	NULL 
t2 	20220720 	B 	- 	0 	NULL 
t3 	20220720 	B 	- 	0 	NULL 
t4 	20220720 	B 	- 	0 	NULL 
t5 	20220720 	B 	- 	0 	NULL 
t6 	20220720 	B 	- 	0 	NULL 
t7 	20220720 	B 	- 	0 	NULL 
t8 	20220720 	B 	- 	0 	NULL 
t9 	20220720 	B 	- 	0 	NULL 
t10 	20220720 	B 	- 	0 	NULL 
t11 	20220720 	B 	- 	0 	NULL 
t12 	20220720 	B 	- 	0 	NULL 
t13 	20220720 	B 	- 	0 	NULL 
t14 	20220720 	B 	- 	0 	NULL 
t15 	20220720 	B 	- 	0 	NULL 
t16 	20220720 	B 	- 	0 	NULL 
t1 	20220720 	L 	- 	0 	NULL 
t2 	20220720 	L 	- 	0 	NULL 
t3 	20220720 	L 	- 	0 	NULL 
t4 	20220720 	L 	- 	0 	NULL 
t5 	20220720 	L 	- 	0 	NULL 
t6 	20220720 	L 	- 	0 	NULL 
t7 	20220720 	L 	- 	0 	NULL 
t8 	20220720 	L 	- 	0 	NULL 
t9 	20220720 	L 	- 	0 	NULL 
t10 	20220720 	L 	- 	0 	NULL 
t11 	20220720 	L 	- 	0 	NULL 
t12 	20220720 	L 	- 	0 	NULL 
t13 	20220720 	L 	- 	0 	NULL 
t14 	20220720 	L 	- 	0 	NULL 
t15 	20220720 	L 	- 	0 	NULL 
